nbhd_class,year,businesses,weekly_visits_M,visits_per_business,index_2019
70+ Latino,2019,18808,38.23,2032.0,100.0
70+ Latino,2020,18101,21.73,1197.0,58.9
70+ Latino,2021,17875,26.27,1469.0,72.3
70+ Latino,2022,18136,29.8,1643.0,80.9
70+ Latino,2023,18714,24.94,1333.0,65.6
70+ Latino,2024,18755,25.12,1339.0,65.9
70+ Latino,2025,18705,24.73,1322.0,65.1
Other,2019,60867,130.56,2144.0,100.0
Other,2020,58180,65.83,1126.0,52.5
Other,2021,57751,78.09,1351.0,63.0
Other,2022,58419,83.9,1436.0,67.0
Other,2023,60596,79.51,1312.0,61.2
Other,2024,60741,79.83,1314.0,61.3
Other,2025,60530,78.45,1296.0,60.4
70+ NL White,2019,7748,15.59,2011.0,100.0
70+ NL White,2020,7336,6.91,935.0,46.5
70+ NL White,2021,7311,8.6,1175.0,58.4
70+ NL White,2022,7393,9.19,1243.0,61.8
70+ NL White,2023,7756,8.82,1137.0,56.6
70+ NL White,2024,7771,8.79,1130.0,56.2
70+ NL White,2025,7735,8.53,1103.0,54.8
