month,park_visitors_70+ Latino,park_visitors_70+ NL White,park_visitors_Other,panel_roster_70+ Latino,panel_roster_70+ NL White,panel_roster_Other
2019-01,159814,94038,688840,575442.0,115873.0,1013207.0
2019-02,143428,88931,630399,444393.0,85868.0,997565.0
2019-03,178048,104060,761269,447854.0,80493.0,1039605.0
2019-04,189467,99696,772996,225992.0,45766.0,532532.0
2019-05,176758,106896,776629,230035.0,46775.0,544227.0
2019-06,192718,110505,815531,219353.0,46144.0,527722.0
2019-07,188214,105745,784079,177466.0,39939.0,450149.0
2019-08,185874,110039,791708,120754.0,31647.0,341853.0
2019-09,177011,104336,755086,120203.0,31402.0,343273.0
2019-10,154471,99018,669181,118453.0,31653.0,337774.0
2019-11,142901,87938,606788,109935.0,28368.0,309241.0
2019-12,142989,84381,612761,106325.0,28255.0,303197.0
2020-01,154551,94434,645500,98790.0,26273.0,279403.0
2020-02,155540,97925,664031,96018.0,25323.0,270931.0
2020-03,124178,73999,486562,98237.0,24677.0,270870.0
2020-04,79349,39326,288428,88594.0,21128.0,237496.0
2020-05,136208,70044,477079,85062.0,20343.0,227673.0
2020-06,149705,77581,521289,82553.0,20102.0,222805.0
2020-07,143093,74502,507099,72413.0,18889.0,200965.0
2020-08,136271,68878,486666,70566.0,19076.0,201093.0
2020-09,120054,63883,455892,68705.0,18938.0,198461.0
2020-10,130124,73793,508443,67826.0,18993.0,197880.0
2020-11,118279,72914,472247,66370.0,18938.0,195096.0
2020-12,126748,71993,488668,63426.0,18206.0,187351.0
2021-01,126722,78512,489265,60732.0,17564.0,179660.0
2021-02,141994,92201,571892,58754.0,17054.0,173415.0
2021-03,162831,103167,652670,56150.0,16629.0,166520.0
2021-04,182671,112682,721378,49378.0,14965.0,149475.0
2021-05,179680,112731,699404,53825.0,16154.0,157824.0
2021-06,185391,106946,698868,53062.0,15403.0,152305.0
2021-07,197764,102596,705129,52049.0,14026.0,144639.0
2021-08,201268,101811,719021,54169.0,14296.0,147409.0
2021-09,201816,101815,722394,53973.0,13561.0,146603.0
2021-10,202504,112274,761356,54126.0,13738.0,147130.0
2021-11,193825,99088,701823,55649.0,14077.0,150009.0
2021-12,184546,95772,690259,56062.0,13735.0,148410.0
2022-01,202381,96921,695458,55939.0,13133.0,143978.0
2022-02,224141,103421,768275,56383.0,12723.0,143673.0
2022-03,208836,100978,724242,69029.0,17308.0,180765.0
2022-04,253995,104579,810620,70144.0,16822.0,179146.0
2022-05,252280,113085,815057,71743.0,16869.0,178414.0
2022-06,201909,96631,671161,82992.0,22524.0,217841.0
2022-07,235775,99556,757264,75789.0,18292.0,187286.0
2022-08,226304,102546,733650,77618.0,18392.0,189741.0
2022-09,221390,95480,726328,79653.0,18118.0,195999.0
2022-10,235979,105702,787873,81381.0,18228.0,199601.0
2022-11,207716,96455,711389,81209.0,17985.0,197019.0
2022-12,215033,91676,709523,83662.0,18825.0,201175.0
2023-01,199257,88188,658186,92193.0,17452.0,232024.0
2023-02,207337,87825,688990,95287.0,16501.0,230470.0
2023-03,182569,80659,604600,86311.0,19547.0,235085.0
2023-04,181656,68616,570470,74048.0,13067.0,179595.0
2023-05,165985,71683,528944,71790.0,12458.0,179721.0
2023-06,149610,65632,477296,69904.0,13235.0,179145.0
2023-07,138206,56725,435587,69650.0,13143.0,177733.0
2023-08,165000,71774,524624,93049.0,25464.0,270034.0
2023-09,170526,75649,572913,45575.0,13713.0,143124.0
2023-10,188192,80957,626817,56006.0,12658.0,153569.0
2023-11,194725,87754,657956,63480.0,13943.0,167684.0
2023-12,212313,86485,686260,64656.0,14969.0,180721.0
2024-01,184015,84213,617796,65880.0,16084.0,181777.0
2024-02,211121,92060,709406,68743.0,20320.0,210033.0
2024-03,208074,86114,680772,63617.0,18276.0,194028.0
2024-04,194575,77158,615835,56683.0,13453.0,163619.0
2024-05,152163,67046,492524,55087.0,12694.0,151851.0
2024-06,158566,71800,523053,51320.0,12414.0,142127.0
2024-07,135097,58434,442597,49699.0,12522.0,142425.0
2024-08,147289,64487,470195,48095.0,12005.0,138661.0
2024-09,149669,66553,502883,47437.0,12603.0,143850.0
2024-10,177672,80755,594897,46542.0,13030.0,143996.0
2024-11,161438,77920,572185,43931.0,11188.0,133813.0
2024-12,189579,80663,630329,39192.0,9228.0,119376.0
2025-01,185419,92758,657354,42505.0,11687.0,134802.0
2025-02,200875,94059,702857,41164.0,10529.0,126917.0
2025-03,200209,86328,664283,39436.0,9815.0,121158.0
2025-04,206067,84008,677332,35135.0,7563.0,102499.0
2025-05,194486,86102,635680,34285.0,8162.0,102594.0
2025-06,175180,82242,587215,32207.0,8046.0,100610.0
2025-07,176330,71466,564890,,,
2025-08,186747,82514,609858,,,
2025-09,176706,82216,601273,,,
2025-10,189890,82158,628665,,,
2025-11,188546,93373,652533,,,
2025-12,219517,96322,734892,,,
2026-01,209315,98820,714865,,,
2026-02,217229,100913,755483,,,
2026-03,222495,101740,748450,,,
2026-04,195586,88503,667400,,,
2026-05,187091,91355,638668,,,
2026-06,181791,89315,603997,,,
2026-07,171576,75845,576139,,,
