month,70+ Latino,70+ NL White,Other,Outside LA County,Unclassified
2019-01,13.66,8.04,58.9,18.72,0.67
2019-02,13.44,8.33,59.07,18.49,0.67
2019-03,13.67,7.99,58.45,19.19,0.7
2019-04,14.25,7.5,58.15,19.45,0.65
2019-05,13.35,8.07,58.66,19.24,0.67
2019-06,13.62,7.81,57.63,20.29,0.65
2019-07,13.49,7.58,56.2,22.06,0.67
2019-08,13.33,7.89,56.78,21.31,0.69
2019-09,13.77,8.12,58.75,18.7,0.66
2019-10,13.61,8.73,58.97,18.16,0.53
2019-11,13.7,8.43,58.16,19.28,0.44
2019-12,13.33,7.86,57.11,21.27,0.43
2020-01,13.92,8.51,58.14,19.06,0.38
2020-02,13.73,8.64,58.62,18.61,0.39
2020-03,14.85,8.85,58.17,17.77,0.37
2020-04,16.38,8.12,59.55,15.61,0.34
2020-05,16.7,8.59,58.49,16.03,0.19
2020-06,16.55,8.57,57.61,17.06,0.21
2020-07,16.1,8.38,57.07,18.26,0.18
2020-08,15.87,8.02,56.66,19.23,0.22
2020-09,15.2,8.09,57.74,18.71,0.26
2020-10,14.76,8.37,57.66,18.99,0.22
2020-11,14.6,9.0,58.3,17.89,0.21
2020-12,14.89,8.46,57.41,19.04,0.2
2021-01,15.2,9.42,58.7,16.42,0.25
2021-02,14.57,9.46,58.7,17.04,0.22
2021-03,14.45,9.15,57.91,18.23,0.26
2021-04,14.4,8.88,56.85,19.65,0.22
2021-05,14.38,9.02,55.96,20.43,0.22
2021-06,14.41,8.32,54.34,22.69,0.24
2021-07,14.53,7.54,51.79,25.87,0.28
2021-08,14.99,7.58,53.56,23.64,0.22
2021-09,15.6,7.87,55.84,20.49,0.19
2021-10,14.96,8.29,56.24,20.28,0.22
2021-11,15.52,7.93,56.19,20.11,0.25
2021-12,14.83,7.7,55.46,21.8,0.22
2022-01,16.5,7.9,56.71,18.7,0.18
2022-02,16.55,7.63,56.72,18.92,0.18
2022-03,16.18,7.82,56.1,19.68,0.23
2022-04,17.37,7.15,55.44,19.82,0.22
2022-05,17.17,7.7,55.47,19.48,0.19
2022-06,16.48,7.89,54.78,20.57,0.29
2022-07,16.42,6.93,52.75,23.64,0.25
2022-08,16.77,7.6,54.37,21.04,0.22
2022-09,17.14,7.39,56.22,19.02,0.23
2022-10,16.98,7.6,56.68,18.52,0.22
2022-11,16.42,7.63,56.25,19.51,0.19
2022-12,16.74,7.14,55.24,20.68,0.2
2023-01,16.41,7.26,54.21,21.89,0.22
2023-02,16.26,6.89,54.02,22.65,0.19
2023-03,16.14,7.13,53.44,23.04,0.25
2023-04,16.87,6.37,52.99,23.57,0.2
2023-05,16.76,7.24,53.41,22.4,0.19
2023-06,16.52,7.25,52.72,23.27,0.24
2023-07,16.03,6.58,50.53,26.62,0.24
2023-08,16.47,7.16,52.36,23.77,0.23
2023-09,16.09,7.14,54.04,22.53,0.21
2023-10,16.41,7.06,54.65,21.69,0.19
2023-11,16.07,7.24,54.29,22.21,0.2
2023-12,16.35,6.66,52.84,23.94,0.21
2024-01,16.24,7.43,54.53,21.61,0.19
2024-02,16.29,7.1,54.75,21.61,0.25
2024-03,16.13,6.68,52.78,24.2,0.21
2024-04,16.63,6.59,52.62,23.95,0.21
2024-05,16.51,7.27,53.44,22.61,0.17
2024-06,15.96,7.23,52.64,23.92,0.26
2024-07,15.76,6.82,51.64,25.58,0.2
2024-08,16.44,7.2,52.49,23.69,0.18
2024-09,16.08,7.15,54.01,22.57,0.19
2024-10,16.33,7.42,54.66,21.4,0.19
2024-11,15.33,7.4,54.32,22.8,0.16
2024-12,15.94,6.78,53.01,24.1,0.16
2025-01,15.5,7.75,54.95,21.52,0.28
2025-02,15.78,7.39,55.2,21.42,0.21
2025-03,16.11,6.95,53.46,23.26,0.21
2025-04,16.3,6.64,53.57,23.29,0.19
2025-05,16.43,7.27,53.69,22.43,0.18
2025-06,15.9,7.46,53.28,23.08,0.28
2025-07,15.91,6.45,50.98,26.44,0.22
2025-08,16.16,7.14,52.78,23.76,0.17
2025-09,16.3,7.58,55.46,20.49,0.17
2025-10,16.53,7.15,54.72,21.42,0.18
2025-11,15.64,7.75,54.14,22.31,0.16
2025-12,16.0,7.02,53.58,23.19,0.21
2026-01,15.9,7.51,54.3,22.07,0.22
2026-02,15.84,7.36,55.09,21.53,0.18
2026-03,15.81,7.23,53.18,23.58,0.2
2026-04,15.86,7.17,54.1,22.67,0.2
2026-05,15.91,7.77,54.3,21.85,0.18
2026-06,16.05,7.89,53.34,22.48,0.24
2026-07,15.58,6.89,52.3,25.04,0.2
2026-08,13.45,6.07,44.59,24.0,11.89
