PLACEKEY,PARENT_PLACEKEY,SAFEGRAPH_PLACE_ID,STORE_ID,LOCATION_NAME,STREET_ADDRESS,CITY,POSTAL_CODE,WEBSITE,LATITUDE,LONGITUDE,NAICS_CODE,SUB_CATEGORY,WKT_AREA_SQ_METERS,GEOMETRY_TYPE,POLYGON_CLASS,IS_SYNTHETIC,ENCLOSED,INCLUDES_PARKING_LOT,GEOID,nbhd_class,share_in_city,in_city_la,miles_to_raid,nearest_site,veraset_days_2025,mean_visits_2025,mean_daily_visits_pre,mean_daily_visits_post,veraset_days_2024,mean_visits_2024,advan_venues_inside,in_la_parks_geojson,has_polygon,has_visit_data,area_m2,suspect_reason,quality_tier
zzy-223@5z4-z9f-6rk,,sg:f26ccdd3c96c32049f3e3de05e692ae8,SAMO,Santa Monica Mountains National Recreation Area,Santa Monica Mountains National Recreation Area,Agoura Hills,91301,,34.083533,-118.705033,712190,Nature Parks and Other Similar Institutions,622320495,POLYGON,OWNED_POLYGON,False,False,,06037800335,70+ NL White,0.0,False,20.608,Ladera Heights,126,17648.190476190477,20271.428571428572,37982.65517241379,57,5800.403508771929,0,False,True,True,622320495.0,over 50 km2: swallows unrelated POIs in containment,suspect
zzz-222@5z6-3pr-7h5,,sg:56e8d8ddb20f4f2ea2acf42a59356759,,Algin Sutton Recreation Center,8800 S Hoover St,Los Angeles,90044,,33.95722,-118.286445,712190,Nature Parks and Other Similar Institutions,66606,POLYGON,OWNED_POLYGON,False,False,True,06037240301,Other,1.0,True,4.694,Huntington Park,126,10292.444444444445,20179.321428571428,21172.137931034482,57,198.8421052631579,1,True,True,True,66606.0,,clean
zzz-223@5z5-3p6-kvf,,sg:65f52d010f474ba9ad611de640f03b9f,,Echo Park,751 Echo Park Ave,Los Angeles,90026,https://wheelfunrentals.com/ca/los-angeles/echo-park/,34.073313,-118.259992,712190,Nature Parks and Other Similar Institutions,114951,POLYGON,OWNED_POLYGON,False,False,True,06037197500,Other,1.0,True,1.376,Westlake,126,9300.214285714286,15113.0,18629.758620689656,57,778.0701754385965,1,True,True,True,114951.0,,clean
zzz-222@5z6-3qb-6zf,,sg:0ba50d5c61134cdf877950c6f58ea189,,Saint Andrews Recreation Center,8701 S St Andrews Pl,Los Angeles,90047,,33.958276,-118.311689,712190,Nature Parks and Other Similar Institutions,34705,POLYGON,OWNED_POLYGON,False,False,True,06037238400,Other,0.9998,True,3.644,Ladera Heights,126,8314.07142857143,14922.857142857143,17277.58620689655,57,292.9824561403509,0,True,True,True,34705.0,,clean
zzz-222@5z6-3r6-2x5,,sg:555c621d22e341888e579aaad3f3cb1c,,Franklin D Roosevelt Park,Franklin D Roosevelt Park,Roosevelt Park,90001,,33.970251,-118.242064,712190,Nature Parks and Other Similar Institutions,98503,POLYGON,OWNED_POLYGON,False,False,True,06037534900,70+ Latino,0.0,False,2.063,Huntington Park,126,5741.706349206349,12250.07142857143,10215.965517241379,56,58.67857142857143,0,True,True,True,98503.0,,clean
zzy-224@5z6-3qz-xnq,,sg:ee9792011a7c32c8b2709bc985934e82,,Central Avenue Jazz Park,4222 S Central Ave,Los Angeles,90011,,34.006943,-118.256202,712190,Nature Parks and Other Similar Institutions,191,POLYGON,SHARED_POLYGON,False,False,False,06037228210,70+ Latino,1.0,True,1.813,Warehouse District,35,8102.2,10440.833333333334,7618.3448275862065,11,8.090909090909092,0,False,True,True,191.0,under 0.2 ha: a park fragment or a point feature,suspect
zzz-222@5z4-zc9-kzz,,sg:db1d7ee3e6974a6ab35f8cb54e6ef3bd,,Van Nuys Recreation Center,14301 Vanowen Ave,Los Angeles,91405,,34.194535,-118.444963,712190,Nature Parks and Other Similar Institutions,15757,POLYGON,OWNED_POLYGON,False,False,True,06037127910,70+ Latino,1.0,True,5.585,Pacoima,126,4482.0,8936.57142857143,7323.3448275862065,51,411.29411764705884,0,False,True,True,15757.0,,clean
zzz-222@5z6-3nk-vmk,,sg:2025e90b982f4670adda99b4afbd5ae6,,Houghton Park,Houghton Park,Long Beach,90805,,33.869047,-118.183758,712190,Nature Parks and Other Similar Institutions,106678,POLYGON,OWNED_POLYGON,False,False,True,06037570504,Other,0.0,False,1.323,Paramount,126,4934.119047619048,7687.0,11108.48275862069,57,316.56140350877195,1,True,True,True,106678.0,,clean
zzy-222@5z5-3pp-fvf,,sg:904895ac0bda46c4ad0d80b7d417871a,,Griffith Park,4730 Crystal Springs Dr,Los Angeles,90027,,34.136544,-118.294203,712190,Nature Parks and Other Similar Institutions,17358043,POLYGON,OWNED_POLYGON,False,False,True,06037980009,Other,0.9988,True,5.461,Cypress Park,126,6258.833333333333,6865.571428571428,14689.206896551725,1,5.0,42,True,True,True,17358043.0,,clean
zzz-222@5z5-3qq-rc5,,sg:30e16354282e484aa7c3739c3ae0ef05,,Queen Anne Recreation Center,1240 West Blvd,Los Angeles,90019,,34.050211,-118.332818,712190,Nature Parks and Other Similar Institutions,21172,POLYGON,OWNED_POLYGON,False,False,True,06037212800,Other,1.0,True,3.502,Westlake,126,3883.7698412698414,6778.071428571428,7046.137931034483,57,325.49122807017545,0,True,True,True,21172.0,,clean
zzz-222@5z6-3q7-gzf,,sg:bf117a83feab4173843e1949c43d8d09,,Julian C Dixon Park,4800 S Hoover St,Los Angeles,90037,https://www.laparks.org/park/julian-c-dixon,33.999252,-118.286791,712190,Nature Parks and Other Similar Institutions,3888,POLYGON,OWNED_POLYGON,False,False,,06037232120,70+ Latino,1.0,True,3.266,Fashion District,126,4009.8571428571427,6776.857142857143,7881.620689655172,52,269.4230769230769,0,False,True,True,3888.0,,clean
zzz-222@5z5-3py-tgk,,sg:49294bf0ef7749f0a25bc7a4ff5aed83,,Yosemite Recreation Center,1840 Yosemite Dr,Los Angeles,90041,,34.133327,-118.207244,712190,Nature Parks and Other Similar Institutions,40483,POLYGON,OWNED_POLYGON,False,False,True,06037181600,Other,1.0,True,3.629,Cypress Park,126,3937.436507936508,6427.785714285715,7244.0,57,199.9298245614035,0,True,True,True,40483.0,,clean
zzz-222@5z4-zxj-nbk,zzw-222@5z6-3h9-tsq,sg:6e5c8e1ffa74462a97387b4744aab99e,,Carl E Nielsen Youth Park,Carl East Nielsen Youth Park,Los Angeles,90045,http://www.recreationparks.net/CA/los-angeles/carl-e-nielsen-youth-park-los-angeles,33.955609,-118.388988,712190,Nature Parks and Other Similar Institutions,33059,POLYGON,OWNED_POLYGON,False,True,True,06037980028,Unclassified,0.9988,True,2.678,Ladera Heights,126,4075.1984126984125,6416.571428571428,6964.827586206897,53,96.81132075471699,0,True,True,True,33059.0,,clean
zzz-222@5z4-n3y-87q,,sg:047c538ef8a449d284b7ee901b5dec26,,Sycamore Canyon Park,Sycamore Canyon Park,Claremont,91711,,34.136307,-117.725774,712190,Nature Parks and Other Similar Institutions,4741,POLYGON,OWNED_POLYGON,False,False,,06037400205,Other,0.0,False,21.971,Whittier,126,3960.5,6315.392857142857,7701.724137931034,49,401.2040816326531,0,False,True,True,4741.0,,clean
zzz-222@5z5-3rj-94v,,sg:4fd9c9772566460e831f4ece75adcdca,,State Street Recreation Center,716 N State St,Los Angeles,90033,http://www.laparks.org,34.053006,-118.212808,712190,Nature Parks and Other Similar Institutions,10591,POLYGON,OWNED_POLYGON,False,False,,06037203602,70+ Latino,1.0,True,2.156,Cypress Park,126,3407.9920634920636,6253.178571428572,5249.758620689655,57,338.4035087719298,0,False,True,True,10591.0,,clean
zzz-222@5z5-3k8-6ff,,sg:5caa5058db534c43ad8eb661e1681cb2,,City Terrace Park,City Terrace Park,East Los Angeles,90063,,34.049529,-118.17829,712190,Nature Parks and Other Similar Institutions,62500,POLYGON,OWNED_POLYGON,False,False,True,06037530902,70+ Latino,0.0,False,3.492,Cypress Park,126,4480.912698412699,6203.607142857143,12370.241379310344,54,364.05555555555554,0,True,True,True,62500.0,,clean
zzz-222@5z5-3mc-8y9,,sg:18a66acf43f840e389ef4d8e323464f8,,William A Smith Park,A Smith Park,Pico Rivera,90660,,33.990443,-118.089817,712190,Nature Parks and Other Similar Institutions,66690,POLYGON,OWNED_POLYGON,False,False,True,06037500800,70+ Latino,0.0,False,2.897,Whittier,126,3801.8571428571427,6085.5,5979.0,52,561.2307692307693,0,True,True,True,66690.0,,clean
