park_placekey,park_name,CITY,LATITUDE,LONGITUDE,area_m2,venues,median_weekly_visits,miles_to_nearest_site,share_amenity,share_booked,share_not_parklike,suspect,screen_1_any_park,screen_2_not_nonpark,screen_3_amenities,kept_by_name,pre_2024,post_2024,pre_2025,post_2025,pct_2024,pct_2025,excess
zzy-222@5z6-3h2-7nq,Columbia Park,Torrance,33.8605,-118.3473,222999.0,2,304.0,8.89,0.5,0.0,0.5,False,True,False,True,False,389.0,920.5,1037.0,82.0,136.6324,-92.0926,-228.725
236-225@5z6-43d-rtv,Bixby Park,Long Beach,33.7668,-118.1669,72184.0,3,15638.5,8.45,0.6667,0.0,1.0,False,True,False,True,False,9052.5,13091.0,9983.0,10446.0,44.612,4.6379,-39.9741
zzz-222@5z5-3qw-cyv,Exposition Park,Los Angeles,34.016,-118.2864,211930.0,26,50193.0,2.5,0.6538,0.0,0.1538,False,True,True,True,False,47936.75,51703.25,47911.75,43820.75,7.8572,-8.5386,-16.3958
222-224@5z5-3rb-3dv,Hancock Park,Los Angeles,34.064,-118.3569,93505.0,11,28965.5,4.89,0.8182,0.0,0.2727,False,True,True,True,False,36599.0,38769.0,35752.75,32175.25,5.9291,-10.0062,-15.9353
zzz-222@5z4-vqg-pgk,Veterans Historical Plaza,Santa Clarita,34.3711,-118.5265,711707.0,9,647.5,8.86,0.6667,0.0,0.2222,False,True,True,True,False,1143.0,1190.0,1703.0,1515.25,4.112,-11.0247,-15.1366
zzy-222@5z4-z75-vpv,Will Rogers State Historic Park,Los Angeles,34.055,-118.5126,760311.0,6,32707.0,9.68,0.5,0.0,0.5,False,True,False,True,False,37173.5,40983.5,33886.0,33125.0,10.2492,-2.2458,-12.495
zzy-222@5z5-3pp-fvf,Griffith Park,Los Angeles,34.1365,-118.2942,17358043.0,42,113219.5,5.46,0.381,0.1667,0.0952,False,True,True,True,True,108518.0,135564.25,110042.25,126243.25,24.9233,14.7225,-10.2008
zzz-222@5z4-zfc-3bk,Sepulveda Basin Recreation Area,Los Angeles,34.1782,-118.4884,6226748.0,8,40004.0,7.52,0.25,0.5,0.25,False,True,True,True,True,46321.0,48873.0,49710.0,48084.5,5.5094,-3.27,-8.7793
zzz-222@5z4-zvr-zs5,La Cienega Park,Beverly Hills,34.0606,-118.3755,68311.0,2,1073.0,5.04,1.0,0.0,0.0,False,True,True,True,False,2134.5,1271.75,2217.0,1166.0,-40.4193,-47.4064,-6.9871
zzz-222@5z5-357-vj9,Brookside Park,Pasadena,34.1535,-118.1651,374208.0,4,1346.0,5.95,1.0,0.0,0.0,False,True,True,True,False,1344.5,1385.75,1370.0,1338.25,3.0681,-2.3175,-5.3856
zzz-222@5z5-3jm-5zz,Bicknell Park,Montebello,34.0289,-118.1309,30782.0,3,2720.0,5.5,0.6667,0.0,0.6667,False,True,False,True,False,2913.5,3438.5,3092.5,3520.75,18.0196,13.848,-4.1715
zzz-222@5z5-3rb-zcq,Pan Pacific Park,Los Angeles,34.0732,-118.3546,130217.0,5,12038.5,4.87,0.6,0.0,0.2,False,True,True,True,False,13428.5,13067.0,13918.0,13041.0,-2.692,-6.3012,-3.6092
zzz-222@5z4-vsj-35z,Hansen Dam Recreation Area,Los Angeles,34.2707,-118.3902,5826863.0,9,15285.5,2.02,0.6667,0.1111,0.1111,False,True,True,True,False,12028.0,11609.25,12980.75,12244.75,-3.4815,-5.6699,-2.1885
zzz-222@5z6-3ys-vmk,Point Vicente Interpretive Center,Rancho Palos Verdes,33.7448,-118.4114,107742.0,2,1390.0,16.33,1.0,0.0,0.0,False,True,True,True,False,1578.75,1728.75,1417.75,1537.25,9.5012,8.4288,-1.0723
zzw-222@5z4-zfs-3yv,Weddington Park South,Los Angeles,34.1411,-118.3636,97806.0,3,1616.0,7.87,1.0,0.0,0.3333,False,True,True,True,False,1814.25,1685.0,2068.75,1914.0,-7.1242,-7.4804,-0.3562
zzz-222@5z4-zbb-p35,Paramount Ranch,Agoura Hills,34.1201,-118.7586,2121534.0,10,6624.5,21.8,0.7,0.0,0.0,False,True,True,True,False,6480.0,7057.0,6638.5,7247.75,8.9043,9.1775,0.2732
zzy-226@5z6-3ch-fmk,Lincoln Park,Long Beach,33.7678,-118.1945,22827.0,2,3456.0,8.34,1.0,0.0,0.0,False,True,True,True,False,4523.25,4554.0,4359.75,4421.75,0.6798,1.4221,0.7423
zzw-223@5z5-3r3-g49,Plummer Park,West Hollywood,34.0925,-118.3512,34317.0,4,699.0,5.18,0.5,0.0,0.5,False,True,False,True,False,6140.0,6141.25,6200.5,6265.75,0.0204,1.0523,1.032
zzy-224@5z5-3rk-f9f,Civic Center Mall,Los Angeles,34.0562,-118.2466,37726.0,2,3771.0,1.46,0.5,0.0,0.0,False,True,True,True,False,4372.0,4111.0,4149.5,3953.5,-5.9698,-4.7235,1.2463
zzz-222@5z6-3df-75z,Angels Gate Park,San Pedro,33.7103,-118.2945,288462.0,4,2519.0,13.8,0.75,0.0,0.25,False,True,True,True,False,1323.0,965.75,1487.75,1106.0,-27.003,-25.6596,1.3435
zzz-222@5z4-zw6-fmk,West Hollywood Park,West Hollywood,34.0835,-118.3848,29891.0,3,3673.0,6.68,0.6667,0.0,0.3333,False,True,True,True,False,4125.75,4094.25,3993.0,4120.25,-0.7635,3.1868,3.9503
zzz-222@5z5-3kg-35z,Whittier Narrows Recreation Area,Pico Rivera,34.0438,-118.0586,544065.0,2,2448.5,5.45,1.0,0.0,0.0,False,True,True,True,False,2586.25,2492.75,3034.25,3114.25,-3.6153,2.6366,6.2518
zzy-222@5z4-zfk-jvz,Libbit Park,Encino,34.1618,-118.4887,110882.0,2,1906.0,8.54,1.0,0.0,0.5,False,True,False,True,False,1987.0,1861.75,2066.25,2075.5,-6.3035,0.4477,6.7511
zzz-222@5z5-34k-zfz,Huntington Library And Botanical Gardens,San Marino,34.1261,-118.1154,836430.0,10,6029.0,6.91,0.9,0.0,0.0,False,True,True,True,False,8074.5,7117.5,7835.0,7635.25,-11.8521,-2.5495,9.3027
zzz-222@5z6-3kw-4sq,Apollo Park,Downey,33.9274,-118.1539,66088.0,2,1566.5,3.25,1.0,0.0,0.5,False,True,False,True,False,1728.75,1978.0,1852.75,2352.5,14.4179,26.9734,12.5555
zzy-222@5z5-393-cnq,Descanso Gardens,Glendale,34.1998,-118.2127,601721.0,5,2677.5,8.11,0.8,0.0,0.0,False,True,True,True,False,3216.75,2739.75,2918.25,2866.75,-14.8286,-1.7648,13.0639
zzz-222@5z4-xcd-6x5,Lancaster Park,Lancaster,34.665,-118.1504,257541.0,3,1079.5,31.24,0.6667,0.0,1.0,False,True,False,True,False,1398.0,1177.0,1302.0,1285.5,-15.8083,-1.2673,14.541
zzz-222@5z4-xt6-wtv,Joe Davies Heritage Airpark,Palmdale,34.603,-118.0871,32430.0,3,1143.5,29.82,1.0,0.0,0.0,False,True,True,True,False,1685.5,1688.5,1486.0,1706.5,0.178,14.8385,14.6605
zzy-222@5z4-zx2-54v,Palisades Park,Santa Monica,34.023,-118.5095,163448.0,1,52.0,8.67,1.0,0.0,0.0,False,False,False,False,False,39.0,69.0,30.0,23.0,76.9231,-23.3333,-100.2564
zzy-222@5z4-rq2-3kf,Ganesha Park,Pomona,34.0742,-117.7616,227810.0,1,17.0,18.11,0.0,0.0,1.0,False,False,False,False,False,13.0,26.0,12.0,12.0,100.0,0.0,-100.0
zzz-222@5z4-zd9-dvz,Larry Maxam Park,Burbank,34.189,-118.3524,20947.0,1,66.0,7.19,0.0,0.0,1.0,False,False,False,False,False,30.3333,38.0,107.0,52.75,25.2747,-50.7009,-75.9757
zzy-222@5z6-3cd-qmk,Willow Springs Park (Undeveloped),Long Beach,33.8086,-118.1785,177756.0,1,1300.0,5.51,0.0,0.0,0.0,False,False,False,False,False,1069.5,1241.0,2909.5,1276.75,16.0355,-56.1179,-72.1534
zzz-222@5z5-3nf-4vz,Worsham Canyon Open Space,Whittier,33.9807,-118.0176,1327199.0,1,225.0,2.11,0.0,0.0,0.0,False,False,False,False,False,221.0,310.5,420.0,333.5,40.4977,-20.5952,-61.093
zzz-222@5z5-3sh-qfz,Encanto Park,Duarte,34.1441,-117.9377,43192.0,1,51.0,13.91,1.0,0.0,0.0,False,False,False,False,False,107.25,135.75,83.0,58.5,26.5734,-29.5181,-56.0915
zzz-222@5z6-3qq-g6k,Salt Lake Park,Huntington Park,33.9742,-118.2064,121873.0,1,73.0,1.11,1.0,0.0,0.0,False,False,False,False,False,25.75,25.25,44.5,20.25,-1.9417,-54.4944,-52.5526
zzy-222@5z4-vbr-649,Castaic Lake State Recreation Area,Castaic,34.5517,-118.6135,11423867.0,10,7574.0,22.0,0.0,0.0,1.0,False,True,False,False,False,18647.75,24558.25,19843.5,19506.5,31.6955,-1.6983,-33.3938
zzz-222@5z4-zws-8sq,El Segundo Dunes Esha,Los Angeles,33.947,-118.4376,1272725.0,4,179.0,5.1,0.5,0.0,0.0,False,False,False,False,False,325.0,389.0,414.25,359.75,19.6923,-13.1563,-32.8486
zzz-222@5z4-zfy-nyv,Franklin Canyon Park,Beverly Hills,34.1031,-118.4132,2455973.0,1,192.5,8.41,0.0,0.0,1.0,False,False,False,False,False,214.0,347.75,225.0,292.25,62.5,29.8889,-32.6111
zzz-222@5z6-3gt-rc5,Mcmaster Park,Torrance,33.872,-118.3365,26175.0,1,135.5,8.19,1.0,0.0,0.0,False,False,False,False,False,110.25,136.25,118.25,108.25,23.5828,-8.4567,-32.0394
zzz-222@5z5-3nz-tjv,Barnsdall Park,Los Angeles,34.1004,-118.2944,59049.0,6,1497.5,3.32,0.3333,0.0,0.1667,False,True,True,False,False,3514.25,3387.0,2950.0,1942.75,-3.621,-34.1441,-30.5231
zzz-222@5z6-3gs-47q,Polliwog Park,Manhattan Beach,33.8882,-118.3846,68299.0,2,43.5,7.02,1.0,0.0,0.0,False,False,False,False,False,32.5,38.0,73.75,64.0,16.9231,-13.2203,-30.1434
zzz-222@5z6-3rt-mc5,Hawthorne Memorial Park,Hawthorne,33.9172,-118.3416,54583.0,1,174.5,5.08,0.0,0.0,0.0,False,False,False,False,False,188.0,209.5,100.5,82.0,11.4362,-18.408,-29.8441
zzz-222@5z6-43f-pqf,Marine Park Mother's Beach,Long Beach,33.7589,-118.1207,37655.0,2,6389.5,9.67,0.0,0.0,1.0,False,True,False,False,False,8829.0,14468.75,10522.0,14297.75,63.8776,35.8843,-27.9932
zzz-222@5z6-3kz-q75,T Mayne Thompson Park And Bellflower Aquatic Center,Bellflower,33.9046,-118.1267,52092.0,1,1644.0,3.55,1.0,0.0,0.0,False,False,False,False,False,907.75,1165.25,1003.25,1043.5,28.3668,4.012,-24.3549
zzy-222@5z4-zwm-qxq,Marina Beach,Marina Del Rey,33.9811,-118.4589,39149.0,1,3162.0,5.46,0.0,0.0,1.0,False,False,False,False,False,4549.0,5072.5,5303.75,4685.5,11.508,-11.6568,-23.1649
222-226@5z4-z4d-yd9,Topanga State Park,Los Angeles,34.103,-118.5838,46472462.0,7,831.5,14.87,0.2857,0.0,0.0,False,True,True,False,False,519.75,626.5,562.75,561.0,20.5387,-0.311,-20.8497
zzz-222@5z4-zws-yn5,Dockweiler State Beach,El Segundo,33.9391,-118.4402,1054745.0,5,70114.5,5.54,0.2,0.4,0.2,False,True,True,False,False,87254.0,115046.0,107836.5,120807.25,31.8518,12.0282,-19.8237
zzz-222@5z4-zd9-tn5,Ralph Foy Park,Burbank,34.1861,-118.3457,48174.0,1,421.5,7.57,1.0,0.0,0.0,False,False,False,False,False,1634.0,1912.25,2054.0,2004.75,17.0288,-2.3978,-19.4265
zzz-222@5z4-vsd-2zf,El Cariso Regional County Park And Golf Course,Los Angeles,34.3147,-118.4139,662098.0,3,18340.0,2.9,0.3333,0.3333,0.0,False,True,True,False,False,22438.75,19993.0,30735.25,21598.75,-10.8997,-29.7265,-18.8268
zzz-222@5z4-zdm-jy9,Strathern Park - North,North Hollywood,34.2168,-118.4064,51540.0,1,1497.0,4.08,0.0,0.0,0.0,False,False,False,False,False,218.0,168.5,382.25,224.75,-22.7064,-41.2034,-18.497
zzz-222@5z6-3gt-6hq,Alondra Park,Alondra Park,33.8862,-118.342,219175.0,1,194.0,7.17,0.0,1.0,0.0,False,False,False,False,False,382.75,401.5,393.5,342.25,4.8988,-13.0241,-17.9229
zzy-222@5z4-zw2-qxq,Beverly Hills Sign,Beverly Hills,34.0724,-118.4035,30902.0,9,18238.0,6.23,0.3333,0.0,0.0,True,False,False,False,False,7579.75,8367.25,6220.5,5777.5,10.3895,-7.1216,-17.5111
zzz-222@5z5-3mh-gp9,John Anson Ford Park,Bell Gardens,33.9586,-118.1506,68232.0,1,2609.5,4.2,0.0,0.0,0.0,False,False,False,False,False,14586.5,16315.5,16384.0,15501.75,11.8534,-5.3848,-17.2383
zzz-222@5z6-3bj-4jv,Ken Malloy Harbor Regional Park,Los Angeles,33.7835,-118.2949,1176949.0,1,3013.5,9.58,0.0,1.0,0.0,False,False,False,False,False,4280.25,4605.75,4499.0,4147.0,7.6047,-7.824,-15.4287
zzz-222@5z4-zcr-zzz,Van Nuys Golf Course,Los Angeles,34.1903,-118.4887,227857.0,1,4921.0,6.81,0.0,1.0,0.0,False,False,False,False,False,5237.75,5631.75,5484.75,5115.0,7.5223,-6.7414,-14.2637
224-222@5z6-3rx-gzf,Maggie Hathaway Golf Course,Los Angeles,33.948,-118.3129,55036.0,1,1425.0,4.04,0.0,1.0,0.0,False,False,False,False,False,4502.0,4479.25,4502.75,3877.75,-0.5053,-13.8804,-13.3751
zzz-222@5z5-3vt-5zz,Morgan Park,Baldwin Park,34.0868,-117.9637,40085.0,1,954.5,9.72,0.0,0.0,1.0,False,False,False,False,False,951.75,1227.25,1033.0,1197.75,28.9467,15.9487,-12.998
zzz-222@5z4-vv8-tgk,South Fork River Trail Open Space,Santa Clarita,34.3995,-118.5396,737254.0,1,383.5,10.87,0.0,0.0,0.0,False,False,False,False,False,338.0,326.0,432.25,362.25,-3.5503,-16.1943,-12.644
zzz-222@5z5-3vc-7qz,Avocado Heights Park,Avocado Heights,34.0358,-117.9881,31574.0,1,99.0,6.0,1.0,0.0,0.0,False,False,False,False,False,91.0,101.5,94.75,93.75,11.5385,-1.0554,-12.5939
zzz-222@5z4-ztz-yqf,Penmar Golf Course,Los Angeles,34.006,-118.4614,213277.0,1,3486.0,5.72,0.0,1.0,0.0,False,False,False,False,False,4526.0,5057.0,4937.25,4900.25,11.7322,-0.7494,-12.4816
zzz-222@5z4-zgj-3bk,Chatsworth Park South,Chatsworth,34.2603,-118.6179,295730.0,2,170.0,11.04,1.0,0.0,0.0,False,False,False,False,False,185.25,180.5,237.0,201.75,-2.5641,-14.8734,-12.3093
zzw-222@5z4-zb8-xh5,Malibu Creek State Park,Agoura Hills,34.0877,-118.7302,4118235.0,1,37077.0,21.66,1.0,0.0,0.0,False,False,False,False,False,38295.5,44850.75,39385.25,41292.5,17.1175,4.8425,-12.275
zzz-222@5z5-3rn-wff,Los Angeles River Center and Gardens,Los Angeles,34.0852,-118.2249,27064.0,1,38.0,0.18,0.0,0.0,0.0,False,False,False,False,False,52.25,63.25,59.25,64.5,21.0526,8.8608,-12.1919
zzz-222@5z6-3jk-gkz,Redondo Beach Pier,Redondo Beach,33.8407,-118.3909,46840.0,12,8939.5,10.32,0.6667,0.0,0.0833,True,False,False,False,False,8346.0,9382.5,7972.75,8002.0,12.4191,0.3669,-12.0522
zzz-222@5z5-3vx-jy9,Cortez Park,West Covina,34.0662,-117.8918,75498.0,1,61.0,11.4,0.0,0.0,0.0,False,False,False,False,False,52.0,53.75,47.25,44.0,3.3654,-6.8783,-10.2437
zzw-222@5z4-n3n-wzf,Claremont Hills Wilderness Park,Claremont,34.1575,-117.7221,8451977.0,1,1704.0,22.96,0.0,0.0,1.0,False,False,False,False,False,2349.0,1660.75,2740.5,1662.5,-29.2997,-39.3359,-10.0362
zzz-222@5z6-3bx-hkf,Torrance Park,Torrance,33.8222,-118.3175,33193.0,1,2487.0,8.85,0.0,0.0,1.0,False,False,False,False,False,2823.75,2890.75,3327.25,3080.25,2.3727,-7.4235,-9.7963
zzz-222@5z6-3qk-9mk,South Gate Park,South Gate,33.9451,-118.1852,336601.0,3,2294.5,3.46,0.0,0.3333,0.0,False,True,True,False,False,3863.0,3821.75,3951.25,3536.5,-1.0678,-10.4967,-9.4289
zzw-222@5z6-3cj-jn5,Shoreline Marina,Long Beach,33.757,-118.1879,424406.0,3,4987.5,9.06,0.0,0.0,0.3333,False,True,True,False,False,8941.25,9478.0,9222.25,8917.5,6.0031,-3.3045,-9.3076
zzz-222@5z5-3n4-py9,Whittier Greenway Trail,Whittier,33.9673,-118.0411,140527.0,2,2382.5,0.5,0.0,0.0,0.0,False,True,True,False,False,2873.25,2988.75,2741.5,2601.25,4.0198,-5.1158,-9.1357
