NAICS_CODE,SUB_CATEGORY,county,city_of_la
713940,Fitness and Recreational Sports Centers,9444,4345
712190,Nature Parks and Other Similar Institutions,3543,1231
713990,All Other Amusement and Recreation Industries,2005,849
711110,Theater Companies and Dinner Theaters,1678,1094
711310,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",1245,706
712120,Historical Sites,891,502
712110,Museums,684,406
713110,Amusement and Theme Parks,462,194
711510,"Independent Artists, Writers, and Performers",428,258
713910,Golf Courses and Country Clubs,347,119
713120,Amusement Arcades,245,105
713210,Casinos (except Casino Hotels),203,104
711130,Musical Groups and Artists,194,96
712130,Zoos and Botanical Gardens,193,96
711211,Sports Teams and Clubs,188,70
713950,Bowling Centers,183,73
721211,RV (Recreational Vehicle) Parks and Campgrounds,114,35
711410,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",107,82
711190,Other Performing Arts Companies,93,63
713930,Marinas,72,25
711320,"Promoters of Performing Arts, Sports, and Similar Events without Facilities",71,36
711212,Racetracks,53,9
711219,Other Spectator Sports,45,24
721214,Recreational and Vacation Camps (except Campgrounds),33,9
711120,Dance Companies,21,11
713920,Skiing Facilities,7,0
713290,Other Gambling Industries,6,2
71395,Bowling Centers,2,1
71119,Other Performing Arts Companies,2,1
71213,Zoos and Botanical Gardens,1,1
71121,Spectator Sports,1,1
71113,Musical Groups and Artists,1,1
71394,Fitness and Recreational Sports Centers,1,0
